division,polling_place_name,address,extra_info,lon,lat,state
CURRUMBIN,Coolangatta,"Senior Citizens Hall, 2 Gerrard Street, COOLANGATTA",Full Wheelchair Access,153.540108,-28.169646,QLD
TRAEGER,Dajarra,"Dajarra State School, Matheson Street, DAJARRA",Full Wheelchair Access,139.511701,-21.693964,QLD
TRAEGER,Healy,"Healy State School, 5-9 Thomson Road, MOUNT ISA",Assisted Wheelchair Access,139.499931,-20.741626,QLD
ALGESTER,Hillcrest,"KidiKingdom Child Care, 16 Sweetgum Street, HILLCREST",Full Wheelchair Access,153.026907,-27.664485,QLD
CURRUMBIN,Coolangatta School,"Coolangatta State School, Stapylton Street, KIRRA",,153.529129,-28.171535,QLD
WHITSUNDAY,Calen,"Calen District State College, 38 Mcintyre Street, CALEN",Assisted Wheelchair Access,148.770037,-20.898754,QLD
REDCLIFFE,Scarborough North,"Alice Bartlett Hall, 72 Seaville Avenue, SCARBOROUGH",,153.110554,-27.196697,QLD
LOCKYER,Lockrose,"Lockrose State School, Lockrose Road, LOCKROSE",,152.460151,-27.493235,QLD
NUDGEE,Northgate Central,"Northgate State School, 128 Amelia Street, NORTHGATE",Full Wheelchair Access,153.070909,-27.39805,QLD
HERVEY BAY,Kawungan,"Kawungan State School, Grevillea Street, KAWUNGAN",Full Wheelchair Access,152.850477,-25.298377,QLD
"BONNEY, SOUTHPORT",Ashmore,"Ashmore State School, Currumburra Road, ASHMORE",,153.380776,-27.98885,QLD
CONDAMINE,Gowrie,"Gowrie State School, Old Homebush Road, GOWRIE",Assisted Wheelchair Access,151.891429,-27.491453,QLD
"COOPER, FERNY GROVE",Ashgrove,"St Finbarr's Hall, Beth Eden Terrace, ASHGROVE",Assisted Wheelchair Access,152.994129,-27.445933,QLD
JORDAN,Springfield Lakes,"Springfield Lakes State School Hall, 63 Springfield Lakes Boulevard, SPRINGFIELD LAKES",Full Wheelchair Access,152.921844,-27.669984,QLD
WARREGO,Moonie,"Moonie State School, 11305 Moonie Highway, MOONIE",,150.373237,-27.714049,QLD
REDLANDS,Coochiemudlo Island,"Public Hall, 345 Victoria Parade South, COOCHIEMUDLO ISLAND",,153.323366,-27.574254,QLD
HINCHINBROOK,Abergowrie,"Abergowrie State School, 5 Venables Road, Abergowrie",Assisted Wheelchair Access,145.883782,-18.474277,QLD
"CONDAMINE, TOOWOOMBA NORTH, TOOWOOMBA SOUTH",Tor Street,"Good Shepherd Lutheran Church, Cnr Tor and Karrool Street, TOOWOOMBA",Assisted Wheelchair Access,151.927308,-27.565609,QLD
MARYBOROUGH,Mungar,"Mungar State School, 1143 Mungar Road, MUNGAR",Full Wheelchair Access,152.591053,-25.604108,QLD
MILLER,Yeronga West,"St Sebastians School, 141 Kadumba Street, YERONGA",Full Wheelchair Access,153.010796,-27.5138,QLD
BURDEKIN,Middlemount,"Community School, James Randell Drive, MIDDLEMOUNT",Assisted Wheelchair Access,148.700938,-22.811413,QLD
CALLIDE,Gayndah,"Gayndah State School, 33 Meson Street, GAYNDAH",Full Wheelchair Access,151.605932,-25.623975,QLD
MIRANI,Westwood,"Westwood State School, 108 Herbert Street, WESTWOOD",,150.154743,-23.616857,QLD
"OODGEROO, REDLANDS",Cleveland,"Cleveland State School, 85-103 Queen Street, CLEVELAND",Full Wheelchair Access,153.270007,-27.529085,QLD
GREENSLOPES,Coorparoo South,"Coorparoo Uniting Church Hall, 9 York Street, COORPAROO",Full Wheelchair Access,153.062486,-27.499088,QLD
PINE RIVERS,Mount Nebo,"Mount Nebo State School, Mt Nebo Road, MOUNT NEBO",,152.783797,-27.396683,QLD
"MUNDINGBURRA, THURINGOWA",Aitkenvale,"Aitkenvale State School, 67-85 Wotton Street, AITKENVALE",Assisted Wheelchair Access,146.762704,-19.296097,QLD
REDCLIFFE,Bally Cara,"Retirement Village, Oyster Point Esplanade, SCARBOROUGH",Full Wheelchair Access,153.101619,-27.203639,QLD
NANANGO,Wheatlands,"Wheatlands State School, Byee Road, WHEATLANDS",Full Wheelchair Access,151.845753,-26.22431,QLD
REDCLIFFE,Woody Point,"Catholic Church Hall, Cnr Collins St & Victoria Avenue, WOODY POINT",Assisted Wheelchair Access,153.098723,-27.250105,QLD
"GREENSLOPES, MANSFIELD, MILLER",Mt Gravatt,"Nursery Road State Special School, 49 Nursery Road, HOLLAND PARK",Assisted Wheelchair Access,153.065145,-27.535173,QLD
BURDEKIN,Bowen Hospital,"Hospital, 61-65 Gregory Street, BOWEN",Full Wheelchair Access,148.240322,-20.007216,QLD
BUDERIM,Buderim Pines,"Gumnuts Childcare Centre, 58-60 Buderim Pines Drive, BUDERIM",Full Wheelchair Access,153.085424,-26.688862,QLD
COOMERA,Pimpama,"Pimpama State School, 9 Hotham Creek Road, PIMPAMA",Assisted Wheelchair Access,153.27816,-27.817026,QLD
WOODRIDGE,Burrowes,"Burrowes State School, Third Avenue, MARSDEN",Assisted Wheelchair Access,153.090721,-27.676033,QLD
SPRINGWOOD,Springwood Central,"Springwood Central State School, Dennis Road, SPRINGWOOD",Assisted Wheelchair Access,153.12978,-27.61861,QLD
INALA,Inala West,"Westside Multi-Cultural Baptist Church, Cnr Biota and Balsa Streets, INALA",Assisted Wheelchair Access,152.971412,-27.587767,QLD
"COOMERA, THEODORE",Upper Coomera North,"Upper Coomera State College, 137 Reserve Road, UPPER COOMERA",Full Wheelchair Access,153.298062,-27.869739,QLD
HINCHINBROOK,Burdell,"St Clares Catholic School - Recreation Hall, Burdell Drive, Burdell",Full Wheelchair Access,146.705311,-19.258301,QLD
"BUNDABERG, BURNETT",Avoca,"Churches of Christ, 76 Twyford Street, AVOCA",Assisted Wheelchair Access,152.314836,-24.888591,QLD
LOCKYER,Helidon,"Helidon State School, 16 School Street, HELIDON",Assisted Wheelchair Access,152.125905,-27.554918,QLD
HINCHINBROOK,Deeragun,"St. Anthony's Catholic College, Joanne Street, DEERAGUN",Assisted Wheelchair Access,146.654292,-19.243989,QLD
BUNDAMBA,Dinmore,"West Moreton Darts Association, 66 Riverview Road, RIVERVIEW",Full Wheelchair Access,152.841582,-27.592873,QLD
SCENIC RIM,Roadvale,"Roadvale State School, 111 Roadvale Road, ROADVALE",Assisted Wheelchair Access,152.705283,-27.920284,QLD
"CONDAMINE, TOOWOOMBA NORTH",Highfields,"Highfields State School, New England Highway, HIGHFIELDS",Assisted Wheelchair Access,151.955842,-27.463214,QLD
CONDAMINE,Emu Creek,"Emu Creek State School, 14534 New England Highway, GREENMOUNT EAST",,151.94477,-27.783714,QLD
"BROADWATER, COOMERA, THEODORE",Coomera,"Coomera State School, Beattie Road, COOMERA",Assisted Wheelchair Access,153.316434,-27.867716,QLD
INALA,Richlands East,"Richlands East State School, Poinsettia Street, INALA",Assisted Wheelchair Access,152.967737,-27.597444,QLD
"MACKAY, MIRANI",Mackay West,"Mackay West State School, Library Performing Arts Centre, 20 Pinder Street, WEST MACKAY",Assisted Wheelchair Access,149.161506,-21.152401,QLD
BUDERIM,Buderim Central,"Eden Lea Retirement Village, 22 Townsend Road, BUDERIM",Full Wheelchair Access,153.044763,-26.689311,QLD
LOCKYER,Gatton South,"Lockyer District High School (Assembly Hall), William Street, GATTON",Full Wheelchair Access,152.277162,-27.567471,QLD
REDCLIFFE,Scarborough,"Scarborough State School, Garsden Street, SCARBOROUGH",,153.11047,-27.215935,QLD
MUNDINGBURRA,University,"James Cook University, James Cook University Drive, DOUGLAS",Assisted Wheelchair Access,146.757376,-19.323381,QLD
MERMAID BEACH,Miami West,"Miami State School, Oceanic Drive, MIAMI",Full Wheelchair Access,153.42581,-28.060279,QLD
HILL,El Arish,"El Arish State School, 28 Chauvel Street, EL ARISH",,146.003156,-17.808085,QLD
CONDAMINE,Kingsthorpe,"Kingsthorpe State School, Goombungee Road, KINGSTHORPE",Assisted Wheelchair Access,151.814505,-27.471796,QLD
COOK,Bamaga,"Northern Peninsula Area College, Senior Campus, Sagaukaz Street, BAMAGA",,142.390516,-10.886853,QLD
CONDAMINE,Perseverance,"Public Hall, Esk-Hampton Road, PERSEVERANCE",,152.118051,-27.378417,QLD
HILL,Innisfail East,"Innisfail East State School, 92 Mourilyan Road, INNISFAIL",Full Wheelchair Access,146.032339,-17.53499,QLD
GLASS HOUSE,Woodford,"Memorial Hall, 109 Archer Street, WOODFORD",Assisted Wheelchair Access,152.778186,-26.954494,QLD
"GREENSLOPES, MANSFIELD",Mt Gravatt West,"Mt Gravatt Showground Industrial Shed, 1644 Logan Road, MOUNT GRAVATT",Full Wheelchair Access,153.082338,-27.54448,QLD
NANANGO,Cloyna,"Cloyna State School, 8 William Webber Road, CLOYNA",,151.846097,-26.107759,QLD
"EVERTON, FERNY GROVE",Oxford Park,"Grovely Scout Hall, 170 Blaker Road, OXFORD PARK",Full Wheelchair Access,152.965398,-27.404192,QLD
GLADSTONE,Chanel,"The Marian Centre Chanel College, 11 Paterson Street, GLADSTONE",Full Wheelchair Access,151.242943,-23.86784,QLD
TRAEGER,Kalkadoon,"Spinifex State College - Senior Campus, 145-163 Abel Smith Parade, MOUNT ISA",Assisted Wheelchair Access,139.509927,-20.721792,QLD
NANANGO,Kilcoy,"Memorial Hall, Kennedy Street, KILCOY",,152.564397,-26.941229,QLD
MIRANI,Alligator Creek,"Alligator Creek State School, 50 Grasstree Road, ALLIGATOR CREEK",Assisted Wheelchair Access,149.210815,-21.328806,QLD
HILL,Tolga,"Tolga State School, Main Street, TOLGA",Assisted Wheelchair Access,145.477738,-17.223631,QLD
All Districts,Maroochydore All-Districts Centre,"19 Duporth Avenue, MAROOCHYDORE",Full Wheelchair Access,153.092637,-26.652397,QLD
"ALGESTER, LOGAN, WOODRIDGE",Browns Plains,"Browns Plains State School, Mayfair Drive, BROWNS PLAINS",Full Wheelchair Access,153.053888,-27.668314,QLD
"MERMAID BEACH, SURFERS PARADISE",Merrimac High,"Merrimac State High School, Dunlop Court, MERMAID WATERS",Full Wheelchair Access,153.417328,-28.040046,QLD
LOCKYER,Ma Ma Creek,"Ma Ma Creek State School, Gatton-Clifton Highway, MA MA CREEK",Full Wheelchair Access,152.190358,-27.629161,QLD
MOUNT OMMANEY,Jamboree Heights,"Jamboree Heights State School, 35 Beanland Street, JAMBOREE HEIGHTS",Full Wheelchair Access,152.929516,-27.554376,QLD
ROCKHAMPTON,Crescent Lagoon,"Crescent Lagoon State School, 6 North Street Extension, WEST ROCKHAMPTON",Assisted Wheelchair Access,150.488137,-23.383229,QLD
"KURWONGBAH, MORAYFIELD",Burpengary South,"Burpengary State Secondary College, 196 Pitt Road, BURPENGARY",Full Wheelchair Access,152.977366,-27.170609,QLD
GYMPIE,Kandanga,"Community Hall, Main Street, KANDANGA",Full Wheelchair Access,152.680167,-26.386459,QLD
COOK,Napranum,"Suzie Madua Conference Hall, 320 Wa-Tyne Street, NAPRANUM",,141.887527,-12.683293,QLD
"BARRON RIVER, CAIRNS",Whitfield,"Whitfield State School, 42 McManus Street, WHITFIELD",Assisted Wheelchair Access,145.728831,-16.911367,QLD
HERVEY BAY,River Heads,"Community Hall, 45 Ariadne Street, RIVER HEADS",Full Wheelchair Access,152.918433,-25.423073,QLD
"HERVEY BAY, MARYBOROUGH",Yarrilee,"Yarrilee State School, 15 Scrub Hill Road, DUNDOWRAN",Full Wheelchair Access,152.804851,-25.289576,QLD
KURWONGBAH,Narangba,"Narangba State School, Knights Road, NARANGBA",Full Wheelchair Access,152.959809,-27.205533,QLD
MILLER,Tarragindi,"Uniting Church, 24 Pope Street, TARRAGINDI",Full Wheelchair Access,153.0445,-27.529,QLD
BARRON RIVER,Kuranda,"CWA Hall, 20 Thongon Street, KURANDA",Assisted Wheelchair Access,145.635565,-16.818629,QLD
PUMICESTONE,Toorbul,"Community Hall, 158 Esplanade, TOORBUL",,153.091725,-27.027735,QLD
WARREGO,Wallumbilla,"Wallumbilla State School, 22 High Street, WALLUMBILLA",Assisted Wheelchair Access,149.185769,-26.584008,QLD
GYMPIE,Bauple,"Bauple State School, 8 Forestry Road, BAUPLE",Assisted Wheelchair Access,152.622719,-25.812235,QLD
MACKAY,Slade Point,"Community Hall, Wren Street, SLADE POINT",Assisted Wheelchair Access,149.218554,-21.075864,QLD
"INALA, MOUNT OMMANEY",Oxley South,"Oxley State School, Bannerman Street, OXLEY",Assisted Wheelchair Access,152.980275,-27.563871,QLD
"CALOUNDRA, GLASS HOUSE",Glass House Mountains,"Glass House Mountains State Primary School Hall, 58 Coonowrin Road, Glass House Mountains",,152.949961,-26.905284,QLD
GYMPIE,Gunalda,"Gunalda State School, King Street, GUNALDA",Assisted Wheelchair Access,152.560315,-25.992429,QLD
TOOWOOMBA NORTH,North Toowoomba,"Toowoomba North State School, Cnr Taylor & Mort Streets, TOOWOOMBA",Full Wheelchair Access,151.948391,-27.556687,QLD
COOK,Mossman,"Mossman State School, 30 - 34 Front Street, MOSSMAN",Full Wheelchair Access,145.373903,-16.46218,QLD
KURWONGBAH,Kurwongbah,"Kurwongbah State School, Eacham Street, PETRIE",Full Wheelchair Access,152.969681,-27.254861,QLD
HILL,East Palmerston,"East Palmerston and Nerada Progress Association Hall, Palmerston Highway, EAST PALMERSTON",,145.84717,-17.603728,QLD
INALA,Inala,"Inala State School, Rosemary Street, DURACK",Assisted Wheelchair Access,152.977257,-27.586111,QLD
HINCHINBROOK,Long Pocket,"CWA Hall, 2346 Ingham-Abergowrie Road, LONG POCKET",Assisted Wheelchair Access,146.002872,-18.521868,QLD
"CONDAMINE, TOOWOOMBA NORTH, TOOWOOMBA SOUTH",Centenary Heights,"Centenary Heights State High School Assembly Hall, 60 Ramsay Street, CENTENARY HEIGHTS",Full Wheelchair Access,151.965616,-27.579808,QLD
"LOGAN, WATERFORD, WOODRIDGE",Marsden,"Marsden State High School, 106-130 Muchow Road, WATERFORD WEST",Assisted Wheelchair Access,153.11072,-27.684989,QLD
CALLIDE,Moura,"Moura Tennis Club, 12 Nott Street, MOURA",Assisted Wheelchair Access,149.975488,-24.574023,QLD
MIRANI,Baree,"School Of Arts, 2-4 Creek Street, BAREE",Assisted Wheelchair Access,150.39073,-23.620522,QLD
"MACKAY, WHITSUNDAY",Pioneer,"Pioneer State High School, 221 Bedford Road, ANDERGROVE",Assisted Wheelchair Access,149.180113,-21.095552,QLD
LYTTON,Preston Road,"Alliance Church Hall, 60 Preston Road, MANLY WEST",,153.174428,-27.456636,QLD
NICKLIN,Nambour,"Hungerford Hall, Nambour State High School, 7 Carrol Street, NAMBOUR",Assisted Wheelchair Access,152.963077,-26.622685,QLD
TOWNSVILLE,Nelly Bay,"Magnetic Island State School, Sooning Street, NELLY BAY",Assisted Wheelchair Access,146.85141,-19.156522,QLD
MIRANI,Stanwell,"Stanwell State School, 10 Teakle Street, STANWELL",Assisted Wheelchair Access,150.320692,-23.484844,QLD
TOOHEY,Salisbury,"Salisbury State School Hall, Lillian Avenue, SALISBURY",Full Wheelchair Access,153.03225,-27.55355,QLD
SCENIC RIM,Canungra,"Canungra State School, Christie Street, Canungra",Assisted Wheelchair Access,153.165904,-28.018021,QLD
IPSWICH WEST,Tivoli,"Tivoli State School, 108 Mt Crosby Road, TIVOLI",Assisted Wheelchair Access,152.777145,-27.583355,QLD
SOUTH BRISBANE,Mater,"Lady Cilento Children's Hospital School (Junior Campus), Cnr Stanley St & Raymond Terrace, SOUTH BRISBANE",Full Wheelchair Access,153.028026,-27.485363,QLD
GREGORY,Blackwater,"Blackwater State School, 43 Wey Street, BLACKWATER",Assisted Wheelchair Access,148.877685,-23.584195,QLD
HINCHINBROOK,Toobanna,"Toobanna State School, Bruce Highway, TOOBANNA",Full Wheelchair Access,146.147486,-18.71238,QLD
LOCKYER,Blenheim,"Blenheim State School, 81 Blenheim Road, BLENHEIM",Assisted Wheelchair Access,152.331587,-27.650313,QLD
COOK,Kowanyama,"Kowanyama State School, 345 Kowanyama Street, KOWANYAMA",Full Wheelchair Access,141.744722,-15.471667,QLD
SPRINGWOOD,Kimberley Park,"Kimberley Park State School, Floret Street, SHAILER PARK",Full Wheelchair Access,153.176907,-27.647553,QLD
"MUNDINGBURRA, THURINGOWA",Vincent,"Vincent State School, 280 Palmerston Street, VINCENT",Assisted Wheelchair Access,146.764501,-19.287125,QLD
SOUTHERN DOWNS,Pratten,"Public Hall, 101 White Street, PRATTEN",,151.784481,-28.086459,QLD
ASPLEY,Aspley East,"Aspley East State School, Multi Purpose Activity Centre, Clorane Street, ASPLEY",Assisted Wheelchair Access,153.024444,-27.363333,QLD
BURNETT,Goodwood,"Goodwood State School, 1802 Goodwood Road, GOODWOOD",Assisted Wheelchair Access,152.384925,-25.145697,QLD
MOUNT OMMANEY,Oxley,"Senior Citizens' Hall, 86 Oxley Station Road, OXLEY",Assisted Wheelchair Access,152.975349,-27.555098,QLD
WARREGO,Bollon,"Bollon State School, 60 Main Street, BOLLON",,147.475947,-28.031692,QLD
GYMPIE,Amamoor,"Amamoor State School, 2 Elizabeth Street, AMAMOOR",Assisted Wheelchair Access,152.67322,-26.3471,QLD
NANANGO,Proston,"Proston State School, 94 Rodney Street, PROSTON",Assisted Wheelchair Access,151.600342,-26.167817,QLD
MULGRAVE,White Rock,"White Rock State School, 114 Progress Road, WHITE ROCK",Full Wheelchair Access,145.744115,-16.986927,QLD
"CALOUNDRA, GLASS HOUSE",Beerwah,"Community Hall, 25 Peachester Road, BEERWAH",Full Wheelchair Access,152.955287,-26.857686,QLD
BUNDAMBA,Redbank,"Redbank Pre-School, 19 Brisbane Road, REDBANK",,152.864781,-27.603496,QLD
"MUNDINGBURRA, THURINGOWA, TOWNSVILLE",Douglas,"Townsville Hospital, 100 Angus Smith Drive, DOUGLAS",Full Wheelchair Access,146.762064,-19.320589,QLD
REDCLIFFE,Clontarf,"Clontarf Beach State School Hall, 91 Elizabeth Avenue, CLONTARF",,153.080862,-27.254298,QLD
"COOPER, FERNY GROVE",Ashgrove West,"Ashgrove State School Hall, 31 Glory Street, ASHGROVE",Full Wheelchair Access,152.976259,-27.448,QLD
"BUNDAMBA, IPSWICH",Blackstone,"Blackstone Hall, 9 Mary Street, BLACKSTONE",,152.800169,-27.626896,QLD
BURNETT,Baffle Creek,"Wartburg State School, Coast Road, BAFFLE CREEK",Full Wheelchair Access,151.930897,-24.502448,QLD
CALLIDE,Taroom,"Taroom State School, Wolsey Street, TAROOM",Full Wheelchair Access,149.800639,-25.638871,QLD
SANDGATE,Shorncliffe,"Shorncliffe State School After School Care Centre, cnr Signal Row & Yundah Street, SHORNCLIFFE",Full Wheelchair Access,153.080497,-27.323442,QLD
"MERMAID BEACH, MUDGEERABA, SURFERS PARADISE",Merrimac,"Merrimac State School, Boowaggan Road, MERRIMAC",Full Wheelchair Access,153.376555,-28.040569,QLD
GREGORY,Bedourie,"Shire Hall, BEDOURIE",Full Wheelchair Access,139.471049,-24.359158,QLD
REDCLIFFE,Woody Point South,"Memorial Hall, Cnr Oxley Ave & Hornibrook Esplanade, WOODY POINT",,153.103462,-27.259918,QLD
MARYBOROUGH,Maryborough West,"Maryborough West State School, Ariadne Street, MARYBOROUGH WEST",Full Wheelchair Access,152.694168,-25.523002,QLD
NANANGO,Booie,"Booie Hall, Booie Road, BOOIE",,151.985043,-26.538334,QLD
CONDAMINE,Felton East,"Public Hall, 2775 Toowoomba-Karara Road, FELTON EAST",,151.77126,-27.801256,QLD
CONDAMINE,Jondaryan,"Jondaryan State School, Scott Road, JONDARYAN",Full Wheelchair Access,151.585584,-27.372958,QLD
REDCLIFFE,Frawley,"Br Timothy Peter Centre, 294 Scarborough Road, SCARBOROUGH",Full Wheelchair Access,153.109983,-27.204611,QLD
COOMERA,Woongoolba,"Woongoolba State School, Stapylton-Jacobs Well Road, WOONGOOLBA",Full Wheelchair Access,153.319042,-27.744539,QLD
COOK,Mount Molloy,"CWA Hall, Main Street, MOUNT MOLLOY",Assisted Wheelchair Access,145.329616,-16.673894,QLD
THURINGOWA,Kelso,"Kelso State School, Yvette Street, KELSO",Assisted Wheelchair Access,146.726473,-19.388082,QLD
WATERFORD,Meadowbrook,"Logan Campus Griffith University, University Drive, MEADOWBROOK",Assisted Wheelchair Access,153.151324,-27.665352,QLD
NANANGO,Cherbourg,"Aboriginal Council Chambers, 22 Barambah Avenue, CHERBOURG",Full Wheelchair Access,151.956035,-26.29078,QLD
"BANCROFT, MURRUMBA",Mango Hill East,"Mango Hill State School, 49 - 57 Bonnet Parade, MANGO HILL",Full Wheelchair Access,153.034857,-27.242564,QLD
BURDEKIN,Merinda,"Merinda State School, Bergl Street, MERINDA",Assisted Wheelchair Access,148.164239,-20.020109,QLD
CAPALABA,Alexandra Hills,"Alexandra Hills State School, 12 Princeton Avenue, ALEXANDRA HILLS",Assisted Wheelchair Access,153.220973,-27.518458,QLD
FERNY GROVE,Ferny Grove West,"St Andrews School, 89 Hogarth Road, FERNY GROVE",Assisted Wheelchair Access,152.92597,-27.408943,QLD
"BURDEKIN, MUNDINGBURRA",Wulguru,"Wulguru State School, Edison Street, WULGURU",Full Wheelchair Access,146.812668,-19.324432,QLD
"BONNEY, BROADWATER",Harley Park,"Labrador Senior Citizens Hall, 370 Marine Parade, LABRADOR",Full Wheelchair Access,153.407483,-27.940672,QLD
TRAEGER,Pentland,"Pentland State School, Gilmore Street, PENTLAND",Assisted Wheelchair Access,145.397809,-20.52292,QLD
TOWNSVILLE,South Townsville,"Townsville South State School, Macrossan Street, South Townsville",Assisted Wheelchair Access,146.827603,-19.26295,QLD
MUNDINGBURRA,Annandale,"Annandale State School, Cnr Oleander & Yolanda Drive, ANNANDALE",Assisted Wheelchair Access,146.777577,-19.314451,QLD
"COOPER, MAIWAR",Paddington,"Brisbane West Senior Citizens Club, 132 Latrobe Terrace, PADDINGTON",Full Wheelchair Access,152.996061,-27.458799,QLD
All Districts,Redcliffe All-Districts Centre,"3-5 High Street, Kippa-Ring",Assisted Wheelchair Access,153.096502,-27.227387,QLD
TRAEGER,Sunset,"Sunset State School, Abel Smith Parade, MOUNT ISA",Assisted Wheelchair Access,139.509984,-20.709245,QLD
MERMAID BEACH,Varsity Central,"Varsity College Middle & Senior Campus, Sports & Arts Centre Assembly Drive, VARSITY LAKES",,153.411911,-28.077699,QLD
WARREGO,Roma,"Roma State College Senior School - Jubilee Hall, Cottell Street, ROMA",,148.777247,-26.566439,QLD
All Districts,East Brisbane All-Districts Centre,"East Brisbane State School Hall, Wellington Road, EAST BRISBANE",,153.039582,-27.48603,QLD
WARREGO,Quilpie,"Quilpie State College, Cnr Boonkai & Chulungra Streets, QUILPIE",Assisted Wheelchair Access,144.271844,-26.614716,QLD
"NUDGEE, SANDGATE",Boondall,"Boondall State School, Sandgate Road (entry from Roscommon Road), Boondall",Assisted Wheelchair Access,153.059254,-27.348084,QLD
MUDGEERABA,Mudgeeraba,"Mudgeeraba Special School, School Street, MUDGEERABA",Full Wheelchair Access,153.363615,-28.07833,QLD
WARREGO,Injune,"Injune State School, Hutton Street, INJUNE",Assisted Wheelchair Access,148.564982,-25.847,QLD
"ALGESTER, STRETTON",Calamvale,"Community College, 11 Hamish Street, CALAMVALE",Full Wheelchair Access,153.043004,-27.627031,QLD
NANANGO,Taabinga,"Taabinga State School, Railway Terrace, KINGAROY",Full Wheelchair Access,151.838152,-26.556113,QLD
"COOMERA, MACALISTER",Mt Warren Park,"Mount Warren Park State School, 125 Mt Warren Boulevard, MT WARREN PARK",Assisted Wheelchair Access,153.206003,-27.726838,QLD
"BONNEY, BROADWATER",Paradise Point,"Community Centre, Off Falkinder Avenue, PARADISE POINT",Full Wheelchair Access,153.394202,-27.885448,QLD
TRAEGER,Richmond,"Richmond State School, 88 Crawford Street, RICHMOND",Full Wheelchair Access,143.142717,-20.734425,QLD
BURDEKIN,Bowen,"Bowen State School Hall, 27 Poole Street, BOWEN",Full Wheelchair Access,148.243675,-20.010235,QLD
CURRUMBIN,Tugun,"Village Community Centre, 414 Coolangatta Road, TUGUN",Full Wheelchair Access,153.500643,-28.151642,QLD
TRAEGER,Central,"Mount Isa Central State School, 49 Miles Street, MOUNT ISA",Assisted Wheelchair Access,139.491795,-20.722923,QLD
"MILLER, TOOHEY",Moorvale,"Clifton Hill Scout Group Hall, 118 Vendale Street, MOOROOKA",Assisted Wheelchair Access,153.02885,-27.53085,QLD
GREGORY,Blackwater North,"Blackwater North State School, Williams Street, BLACKWATER",Full Wheelchair Access,148.886567,-23.565658,QLD
LYTTON,Wynnum Central,"St Peters Anglican Church Hall, Bride Street, WYNNUM",Assisted Wheelchair Access,153.171498,-27.443584,QLD
NANANGO,Brooklands,"Rural Fire Brigade, Lord Street, Brooklands",Assisted Wheelchair Access,151.818346,-26.743086,QLD
HILL,Millaa Millaa,"Millaa Millaa State School, 1 Beech Street, MILLAA MILLAA",Assisted Wheelchair Access,145.610003,-17.512891,QLD
TRAEGER,Ravenswood,"Ravenswood State School, School Street, RAVENSWOOD",Assisted Wheelchair Access,146.889769,-20.103818,QLD
GLADSTONE,Kin Kora,"Kin Kora State School, 43 Hibiscus Avenue, GLADSTONE",,151.252457,-23.878501,QLD
"BURLEIGH, MERMAID BEACH",Burleigh North,"RSL Hall, Sixth Avenue, BURLEIGH HEADS",Assisted Wheelchair Access,153.446204,-28.076849,QLD
"EVERTON, FERNY GROVE",Mitchelton,"Presbyterian Church Hall, Cnr Pascoe & Ruby Streets, MITCHELTON",Full Wheelchair Access,152.974165,-27.409565,QLD
WOODRIDGE,Berrinba East,"Berrinba East State School, Bardon Road, BERRINBA",Assisted Wheelchair Access,153.097489,-27.652211,QLD
CALLIDE,Mundubbera,"CWA Hall, 79 Lyons Street, Mundubbera",Assisted Wheelchair Access,151.298,-25.5906,QLD
LOCKYER,Withcott,"Withcott State School, 26 Biggs Road, WITHCOTT",,152.024131,-27.55896,QLD
GREGORY,Muttaburra,"Muttaburra State School, 42 Sword Street, MUTTABURRA",,144.543616,-22.594563,QLD
GREGORY,Bluff,"Bluff State School, 32 Main Street, BLUFF",,149.068943,-23.5821,QLD
"CALLIDE, GLADSTONE",Calliope,"Calliope State School, Dawson Highway, CALLIOPE",Full Wheelchair Access,151.202633,-24.004639,QLD
MAIWAR,Indooroopilly East,"Anglican Church Hall, Cnr Lambert Road & Fairley Street, INDOOROOPILLY",Assisted Wheelchair Access,152.979954,-27.503459,QLD
WARREGO,Thallon,"Thallon State School, 15 Henry Street, THALLON",Assisted Wheelchair Access,148.867659,-28.633585,QLD
PINE RIVERS,Strathpine West,"Strathpine West State School, Garbala Drive, STRATHPINE",Assisted Wheelchair Access,152.969368,-27.306484,QLD
GREGORY,Jericho,"Jericho State School, Pasteur Street, JERICHO",Full Wheelchair Access,146.129311,-23.604173,QLD
"CAPALABA, OODGEROO",Birkdale,"Birkdale State School, 74 Agnes Street, BIRKDALE",Assisted Wheelchair Access,153.216328,-27.491516,QLD
GYMPIE,Gympie East,"Gympie East State School, 219 Cedar Pocket Road, GYMPIE",Full Wheelchair Access,152.732813,-26.179684,QLD
BONNEY,Arundel,"Arundel State School, 185 Napper Road, ARUNDEL",,153.366056,-27.944858,QLD
"STRETTON, TOOHEY",Runcorn High,"Runcorn State High School, 132 Hill Road, RUNCORN",Full Wheelchair Access,153.077018,-27.593661,QLD
"IPSWICH, IPSWICH WEST, SCENIC RIM",Yamanto,"Amberley District State School Hall, 37 Deebing Creek Road, YAMANTO",Full Wheelchair Access,152.750033,-27.657408,QLD
GYMPIE,Lower Wonga,"Hall, 7 Lower Wonga Road, LOWER WONGA",Full Wheelchair Access,152.484452,-26.090127,QLD
TRAEGER,Julia Creek,"Julia Creek State School, Burke Street, JULIA CREEK",Full Wheelchair Access,141.746888,-20.656644,QLD
MOGGILL,Pullenvale,"Pullenvale State School, 120 Grandview Road, PULLENVALE",Assisted Wheelchair Access,152.895436,-27.532881,QLD
