stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,wheelchairaccess,entrancesdesc,polling_place_type,booth_info,opening_hours,premises,address,polling_place_name,division,state,ess_stall_id,ess_stall_url
,145.26278,FALSE,FALSE,FALSE,FALSE,,,,-37.91844,,,,,Assisted,One pedestrian access gate and a driveway to car park gate both off Wentworth Ave. At the rear of the school is an access gate off Burchall Cres.,Public School,,,Park Ridge Primary School,"Park Ridge Primary School, Wentworth Ave, ROWVILLE, VIC 3178",Park Ridge,Aston,VIC,,
,143.8374336,FALSE,FALSE,FALSE,FALSE,,,,-37.5779312,,,,,Assisted,Gates on Ripon St Sth and at corner of Ripon and Leith Sts,,,,St Aloysius School,"St Aloysius School, 800 Ripon St South, REDAN, VIC 3350",Ballarat South,Ballarat,VIC,,
,143.8444196,FALSE,FALSE,FALSE,FALSE,,,,-37.5661943,,,,,Assisted,Access through Windermere St Carpark,,,,BRACE Training,"BRACE Training, 602 Urquhart St, BALLARAT CENTRAL, VIC 3350",Ballarat South West,Ballarat,VIC,,
,143.9930396,FALSE,FALSE,FALSE,FALSE,,,,-37.558491,,,,,Assisted,Entrance to hall,,,,Bungaree Mechanics Hall,"Bungaree Mechanics Hall, 221 Wallace-Bungaree Rd, BUNGAREE, VIC 3352",Bungaree,Ballarat,VIC,,
,143.7087288,FALSE,FALSE,FALSE,FALSE,,,,-37.5147641,,,,,Assisted,Mitchell St,,,,Cardigan Village Hall,"Cardigan Village Hall, 2 Mitchell St, CARDIGAN VILLAGE, VIC 3352",Cardigan Village,Ballarat,VIC,,
,143.891,FALSE,FALSE,FALSE,FALSE,,,,-37.4238,,,,,Assisted,Gate on Napier St,,,,Creswick Primary School,"Creswick Primary School, Napier St, CRESWICK, VIC 3363",Creswick,Ballarat,VIC,,
,143.891,FALSE,FALSE,FALSE,FALSE,,,,-37.4089,,,,,Assisted,Gate on Macs St,,,,Creswick North Primary School,"Creswick North Primary School, 99 Macs St, CRESWICK, VIC 3363",Creswick North,Ballarat,VIC,,
,144.3306053,FALSE,FALSE,FALSE,FALSE,,,,-37.2356367,,,,,Assisted,Main gate on Drummond Lauriston Rd,,,,Drummond Primary School,"Drummond Primary School, 9 Drummond Lauriston Rd, DRUMMOND, VIC 3461",Drummond,Ballarat,VIC,,
,144.0307403,FALSE,FALSE,FALSE,FALSE,,,,-37.7771901,,,,,Assisted,Entrance to hall,,,,Elaine Mechanics Hall,"Elaine Mechanics Hall, Pearsons Rd, ELAINE, VIC 3334",Elaine,Ballarat,VIC,,
,144.2450322,FALSE,FALSE,FALSE,FALSE,,,,-37.2955233,,,,,Assisted,Entrance to hall,,,,Glenlyon Shire Hall,"Glenlyon Shire Hall, 32 Malmsbury Rd, GLENLYON, VIC 3461",Glenlyon,Ballarat,VIC,,
,144.104,FALSE,FALSE,FALSE,FALSE,,,,-37.5803,,,,,Assisted,Entrance to hall,,,,Gordon Public Hall,"Gordon Public Hall, 68 Main St, GORDON, VIC 3345",Gordon,Ballarat,VIC,,
,143.722,FALSE,FALSE,FALSE,FALSE,,,,-37.5882,,,,,Assisted,Entrance on Sago Hill Rd,,,,Haddon Recreation Hall,"Haddon Recreation Hall, 396 Sago Hill Rd, HADDON, VIC 3351",Haddon,Ballarat,VIC,,
,144.133,FALSE,FALSE,FALSE,FALSE,,,,-37.3098,,,,,Assisted,Entrance to gymnasium,,,,Hepburn Primary School,"Hepburn Primary School, 156 Main Rd, HEPBURN SPRINGS, VIC 3461",Hepburn Springs,Ballarat,VIC,,
,143.712945,FALSE,FALSE,FALSE,FALSE,,,,-37.421723,,,,,Assisted,Access from Laidlaw St.,,,,Learmonth Football and Netball clubrooms,"Learmonth Football and Netball clubrooms, Laidlaw St, LEARMONTH, VIC 3352",Learmonth,Ballarat,VIC,,
,143.795,FALSE,FALSE,FALSE,FALSE,,,,-37.4774,,,,,Assisted,Main gate on Dundas St,,,,Miners Rest Primary School,"Miners Rest Primary School, Dundas St, MINERS REST, VIC 3352",Miners Rest,Ballarat,VIC,,
,144.10505,FALSE,FALSE,FALSE,FALSE,,,,-37.62813,,,,,None,Entrance to hall,,,,Mt Egerton Mechanics Hall,"Mt Egerton Mechanics Hall, Main Rd, MOUNT EGERTON, VIC 3345",Mount Egerton,Ballarat,VIC,,
,144.345,FALSE,FALSE,FALSE,FALSE,,,,-37.6196,,,,,Assisted,Gate on Blow St,,,,Myrniong Primary School,"Myrniong Primary School, Blow Street, MYRNIONG, VIC 3341",Myrniong,Ballarat,VIC,,
,144.4322061,FALSE,TRUE,FALSE,FALSE,2016-07-02 05:08:25.054599+00,2016-07-02 05:08:25.054599+00,,-37.6843689,,,Twitter,{},Assisted,Access from Labilliere St,,,,Bacchus Marsh College - Maddingley Campus,"Bacchus Marsh College - Maddingley Campus, 73 Grant St, MADDINGLEY, VIC 3340",Maddingley,Ballarat,VIC,,
Fundraiser for the schools Energy Breakthrough program.,143.8695205,FALSE,FALSE,FALSE,TRUE,2016-06-30 12:09:56.24862+00,2016-06-30 12:09:56.24862+00,,-37.6108992,Secondary School Sausage sizzle,,,{},Assisted,Gate on Stawell St Sth,,,,Damascus College,"Damascus College, 1412 Geelong Road, MOUNT CLEAR, VIC 3350",Mount Clear,Ballarat,VIC,3751,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3751/Mount-Clear/no
,143.8762445,FALSE,FALSE,FALSE,FALSE,,,,-37.5727507,,,,,Assisted,Entrance to gymnasium,Public School,,,Canadian Lead Primary School,"Canadian Lead Primary School, Otway St South, BALLARAT, VIC 3350",Canadian,Ballarat,VIC,,
,143.894,FALSE,FALSE,FALSE,FALSE,,,,-37.5559,,,,,Assisted,Main gate on Thompson St,Public School,,,Caledonian Primary School,"Caledonian Primary School, Thompson St, BROWN HILL, VIC 3350",Brown Hill,Ballarat,VIC,,
,143.984,FALSE,FALSE,FALSE,FALSE,,,,-37.4113,,,,,Assisted,Gate on Midland Hwy,,,,Newlyn Primary School,"Newlyn Primary School, 2701 Midland Hwy, NEWLYN, VIC 3364",Newlyn,Ballarat,VIC,,
,143.832616,FALSE,FALSE,FALSE,FALSE,,,,-37.5875437,,,,,Assisted,Gate off Tuppen Dr,,,,Phoenix College,"Phoenix College, Tuppen St, SEBASTOPOL, VIC 3356",Redan,Ballarat,VIC,,
,143.7568505,FALSE,FALSE,FALSE,FALSE,,,,-37.6335294,,,,,Assisted,Entrance on Sebastopol-Smythesdale Rd,,,,Ross Creek Recreation Reserve Hall,"Ross Creek Recreation Reserve Hall, Sebastopol Smythesdale Rd, ROSS CREEK, VIC 3351",Ross Creek,Ballarat,VIC,,
,143.84,FALSE,FALSE,FALSE,FALSE,,,,-37.5973,,,,,Assisted,Entrance on Birdwood Ave,,,,Sebastopol RSL Hall,"Sebastopol RSL Hall, Birdwood Ave, SEBASTOPOL, VIC 3356",Sebastopol,Ballarat,VIC,,
,144.2531179,FALSE,FALSE,FALSE,FALSE,,,,-36.7450806,,,,,Assisted,,,,,Long Gully Community Facility,"Long Gully Community Facility, 21 Cunneen Street, LONG GULLY, VIC 3550",Long Gully,Bendigo,VIC,,
"Sausage sizzle, cakes ,slices, drinks",145.003427,FALSE,FALSE,TRUE,TRUE,2016-06-25 07:46:19.406572+00,2016-06-25 07:46:19.406572+00,,-37.786731,Spensley Street Primary School,,Election Sausage Sizzle,{},Assisted,Entry from Spensley and Lt Edmund Sts,,,,Spensley St Primary School,"Spensley St Primary School, 193 Spensley St, CLIFTON HILL, VIC 3068",Clifton Hill,Batman,VIC,2739,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/2739/Spensley-St-Primary-School-Spensley-Street-Primary-School/no
,145.049,FALSE,FALSE,FALSE,FALSE,,,,-37.7143,,,,,Assisted,Enter from Main Drive or Southern Drive,,,,Institute for Advanced Study,"Institute for Advanced Study, Main Dr, BUNDOORA, VIC 3083",Bundoora South,Batman,VIC,,
,145.03,FALSE,FALSE,FALSE,FALSE,,,,-37.6996,,,,,Assisted,,,,,Northern School for Autism,"Northern School for Autism, 16-18 Gertz Ave, RESERVOIR, VIC 3073",Burbank,Batman,VIC,,
"Sausages, cakes & drinks to help fund our new Scout Hall",144.99,FALSE,FALSE,TRUE,TRUE,2016-06-24 10:11:00.102213+00,2016-06-24 10:11:00.102213+00,,-37.7925,2nd Clifton Hill Scout Group,,User-submitted,{},Assisted,Gate entrance from Gold & Wellington Sts Both gates lead to hall,Public School,,,Clifton Hill Primary School,"Clifton Hill Primary School, 185 Gold St, CLIFTON HILL, VIC 3068",Collingwood North (Batman),Batman,VIC,,
,143.820219,FALSE,FALSE,FALSE,FALSE,,,,-37.52779,,,,,Assisted,Main Entrance off Violet Grove,Public School,,,Yuille Park Community College,"Yuille Park Community College, Violet Gr, WENDOUREE, VIC 3355",Wendouree West,Ballarat,VIC,,
"Sausages ($2), bread, onion, drinks ($2)",143.831,FALSE,FALSE,FALSE,TRUE,2016-07-01 23:29:47.732924+00,2016-06-25 07:46:20.905525+00,,-37.5387,School Sausage Sizzle,,Election Sausage Sizzle,{},Assisted,Gate on Forest St,,,,Ballarat & Queens Grammar School,"Ballarat & Queens Grammar School, Gymnasium, 201 Forest StWENDOUREE, VIC 3355",Wendouree,Ballarat,VIC,3125,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3125/Ballarat-&-Queens-Grammar-School-School-Sausage-Sizzle/no
Super sensational sausages,143.87403,FALSE,FALSE,FALSE,TRUE,2016-07-02 02:13:58.515429+00,2016-07-02 02:13:58.515429+00,,-37.56173,St Alipius Primary School sausage sizzle,,User-submitted,{},Assisted,Entrance through Victoria St Gate.,Private School,,,St Alipius Primary School,"St Alipius Primary School, 106-108 Victoria St, BALLARAT EAST, VIC 3350",The Stockade,Ballarat,VIC,,
,145.018,FALSE,FALSE,FALSE,FALSE,,,,-37.7766,,,,,Assisted,Enter from Gillies St,,,,Aerostrike Martial Arts Hall,"Aerostrike Martial Arts Hall, cnr Gillies & Duncan Sts, FAIRFIELD, VIC 3078",Fairfield North,Batman,VIC,,
,143.8609464,FALSE,FALSE,FALSE,FALSE,,,,-37.5505708,,,,,Assisted,Entrance on Neill St,Church,,,Neill Street Uniting Church Hall,"Neill Street Uniting Church Hall, Neill St, BALLARAT, VIC 3350",Soldiers Hill,Ballarat,VIC,,
,143.837,FALSE,FALSE,FALSE,FALSE,,,,-37.5376,,,,,Assisted,Entrance on College St,Pre-School,,,Linda Brown Pre-school,"Linda Brown Pre-school, College St, WENDOUREE, VIC 3355",Wendouree East,Ballarat,VIC,,
,143.8348413,FALSE,FALSE,FALSE,FALSE,,,,-37.5228639,,,,,Assisted,Gate on Forest St,Public School,,,Forest Street Primary School,"Forest Street Primary School, 400B Forest St, WENDOUREE, VIC 3355",Wendouree North,Ballarat,VIC,,
,144.088,FALSE,FALSE,FALSE,FALSE,,,,-37.2138,,,,,Assisted,Gate on High St,Public School,,,Yandoit Primary School,"Yandoit Primary School, 74 High St, YANDOIT, VIC 3461",Yandoit,Ballarat,VIC,,
"Sausages, breads, sauces, onions, drinks",145.021,FALSE,FALSE,FALSE,TRUE,2016-06-25 07:46:17.597474+00,2016-06-25 07:46:17.597474+00,,-37.7059,Reservoir Views Primary School sausage sizzle,,Election Sausage Sizzle,{},Assisted,Enter from Hickford St,,,,Reservoir Views Primary School,"Reservoir Views Primary School, St Vigeons Rd, RESERVOIR, VIC 3073",Reservoir North,Batman,VIC,2511,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/2511/Reservoir-Views-Primary-School-Reservoir-Views-Primary-School-sausage-sizzle/no
"Bacon and egg rolls, sausage, mushroom and halloumi rolls, cakes, coffee",144.99,FALSE,FALSE,TRUE,TRUE,2016-06-30 13:35:26.58874+00,2016-06-25 07:46:16.904617+00,,-37.7225,Reservoir West Primary BBQ and Cake stall,,Facebook,"{""has_coffee"":true,""has_vego"":true,""has_bacon_and_eggs"":true}",Assisted,Enter from Carrington Rd,Public School,,,Reservoir West Primary School,"Reservoir West Primary School, Carrington Rd, RESERVOIR, VIC 3073",Reservoir West,Batman,VIC,2679,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/2679/Reservoir-West-Primary-School-Reservoir-West-Primary-BBQ-and-Cake-stall/no
,144.5,FALSE,FALSE,FALSE,FALSE,,,,-36.7858,,,,,Assisted,Entry to car park via Mitchell St and en try to hall via side door,Community Hall,,,Axedale Public Hall,"Axedale Public Hall, 94 High St, AXEDALE, VIC 3551",Axedale,Bendigo,VIC,,
,145.018,FALSE,FALSE,FALSE,FALSE,,,,-37.7294,,,,,Assisted,Enter from Robb St,,,,Jubilee Hall Holy Name Parish,"Jubilee Hall Holy Name Parish, 28 Robb St, RESERVOIR, VIC 3073",Reservoir East,Batman,VIC,,
,144.994,FALSE,FALSE,FALSE,FALSE,,,,-37.7265,,,,,Assisted,Enter from Beatty St,,,,St Mark's Hall,"St Mark's Hall, Beatty Street, RESERVOIR, VIC 3073",Reservoir South,Batman,VIC,,
,145.03,FALSE,FALSE,FALSE,TRUE,2016-06-30 03:14:19.229748+00,2016-06-30 03:14:19.229748+00,,-37.7329,Preston North East,,Election Sausage Sizzle,{},Assisted,Enter from Ash St,Public School,,,Preston North East Primary School,"Preston North East Primary School, cnr Tyler & Ash Sts, PRESTON, VIC 3072",Preston North East,Batman,VIC,3809,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3809/Preston North East/no
,145.018,FALSE,TRUE,FALSE,FALSE,2016-07-01 23:38:07.153319+00,2016-07-01 23:38:07.153319+00,,-37.7378,,,Twitter,{},Assisted,Enter from Sylvester Gr,Public School,,,Preston East School,"Preston East School, Sylvester Gr, PRESTON, VIC 3072",Preston East,Batman,VIC,,
,145.005,FALSE,TRUE,FALSE,FALSE,2016-07-02 00:20:26.818333+00,2016-07-02 00:20:26.818333+00,,-37.7182,,,Twitter,{},Assisted,Enter from Viola St,Private School,,,St Gabriel's School,"St Gabriel's School, 237 Spring St, RESERVOIR, VIC 3073",Reservoir Central,Batman,VIC,,
,145.003,FALSE,TRUE,FALSE,FALSE,2016-07-02 03:32:03.242415+00,2016-07-02 02:51:27.32749+00,,-37.6964,,,,{},Assisted,Enter from Merrilands Rd,Public School,,,William Ruthven Secondary College,"William Ruthven Secondary College, Merrilands Rd, RESERVOIR, VIC 3073",Merrilands,Batman,VIC,,
,144.989,FALSE,TRUE,FALSE,FALSE,2016-07-02 02:06:05.901113+00,2016-07-02 02:06:05.901113+00,,-37.7742,,,Twitter,{},Assisted,Enter from St Georges Rd,Public School,,,Northcote High School,"Northcote High School, St Georges Rd, NORTHCOTE, VIC 3070",Northcote West,Batman,VIC,,
,144.9999866,FALSE,FALSE,FALSE,FALSE,,,,-37.7636696,,,,,Assisted,Enter from High St,Church,,,Northcote North Baptist Church Hall,"Northcote North Baptist Church Hall, 542 High St, NORTHCOTE, VIC 3070",Northcote North,Batman,VIC,,
,144.996,FALSE,FALSE,FALSE,FALSE,,,,-37.7828,,,,,Assisted,Enter from High St,Church,,,Anglican Church All Saints Parish Hall,"Anglican Church All Saints Parish Hall, 12a High St, NORTHCOTE, VIC 3070",Westgarth,Batman,VIC,,
,145.019,FALSE,FALSE,FALSE,FALSE,,,,-37.7157,,,,,Assisted,Enter from Strathmerton St,Senior Citizens Centre,,,Reservoir Senior Citizens Centre,"Reservoir Senior Citizens Centre, Strathmerton St, RESERVOIR, VIC 3073",Reservoir North East,Batman,VIC,,
,138.523,FALSE,FALSE,FALSE,TRUE,2016-07-02 03:53:42.328467+00,2016-07-02 03:53:42.328467+00,,-35.0317,Sausage Sizzle,,,{},Assisted,Main door to Hall,Church,,,Seacliff Uniting Church Hall,"Seacliff Uniting Church Hall, 7 Wheatland St, SEACLIFF, SA 5049",Seacliff,Boothby,SA,4281,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/4281/Seacliff/no
"Sausage sizzle, cakes and live music",144.996,TRUE,FALSE,TRUE,TRUE,2016-07-02 03:34:26.155174+00,2016-06-27 13:07:29.778267+00,,-37.7375,Preston West Primary School,Live music also on site,Twitter,"{""has_vego"":true}",Assisted,Enter from Jessie St only,Public School,,,Preston West Primary School,"Preston West Primary School, Murray Rd, PRESTON, VIC 3072",Preston West,Batman,VIC,3661,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3661/Preston West/no
Rotary club running a sausage sizzle.  $2.50 for a snag,146.319,FALSE,FALSE,FALSE,TRUE,2016-07-02 03:56:53.052789+00,2016-07-02 03:56:53.052789+00,,-36.3545,Tafe School sausage sizzle,,,{},Assisted,Entrance to polling place: Main foyer to  canteen area Entrance to school grounds: Main entranc e and pedestrian pathway on Docker St.,,,,Wangaratta TAFE Amenities Building,"Wangaratta TAFE Amenities Building, 40 Docker St, WANGARATTA, VIC 3677",Wangaratta,Indi,VIC,4431,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/4431/Wangaratta/no
,145.007,FALSE,TRUE,FALSE,FALSE,2016-07-02 04:16:16.815486+00,2016-07-02 01:27:30.295835+00,,-37.7476,,,Twitter,{},Assisted,Enter from Hotham St,Public School,,,Preston South Primary School,"Preston South Primary School, Hotham St, PRESTON, VIC 3072",Preston South,Batman,VIC,,
,144.2505658,FALSE,FALSE,FALSE,FALSE,,,,-36.7334304,,,,,Assisted,Staley St entrance,,,,California Gully Primary School,"California Gully Primary School, 4-14 Staley St, CALIFORNIA GULLY, VIC 3556",California Gully,Bendigo,VIC,,
"Sausage Sandwiches, cakes and drinks ",144.291,FALSE,FALSE,TRUE,TRUE,2016-07-01 11:25:46.39906+00,2016-07-01 11:25:46.39906+00,southeastbendigo.com,-36.7773,Holy Trinity Sausage Sizzle & Cake Stall,,User-submitted,{},Assisted,Entrance from Keck St,Church,,,Holy Trinity Anglican Church Hall,"Holy Trinity Anglican Church Hall, 14 Keck St, FLORA HILL, VIC 3550",Flora Hill,Bendigo,VIC,,
,144.218,FALSE,FALSE,FALSE,FALSE,,,,-37.0644,,,,,Assisted,Entrance via Frederick St,,,,Castlemaine Town Hall,"Castlemaine Town Hall, 25 Lyttleton St, CASTLEMAINE, VIC 3450",Castlemaine,Bendigo,VIC,,
"If youre in the area, need a snag or feel like a cake, come visit us. Sausage Sizzle & Cake stall. no Vege or Halal options",144.245084,FALSE,FALSE,TRUE,TRUE,2016-07-01 23:05:37.494112+00,2016-07-01 23:05:37.494112+00,https://www.facebook.com/stmonicaskangarooflat/,-36.794515,St Monicas Election Day BBQ & Cake stall,,,{},Assisted,Enter through gate in Station St,,,,St Monica's Primary School,"St Monica's Primary School, 91 High St, KANGAROO FLAT, VIC 3555",Kangaroo Flat South,Bendigo,VIC,,
,144.2720094,FALSE,FALSE,FALSE,FALSE,,,,-36.7647162,,,,,Assisted,,,,,Creek Street Christian College,"Creek Street Christian College, 91 Creek St S, BENDIGO, VIC 3550",Central Deborah,Bendigo,VIC,,
,144.269,FALSE,FALSE,FALSE,FALSE,,,,-36.7361,,,,,Assisted,New gymnasium enter from carpark,,,,Lightning Reef Primary School,"Lightning Reef Primary School, 74 Holmes Rd, BENDIGO NORTH, VIC 3550",Comet Hill,Bendigo,VIC,,
,144.352,FALSE,FALSE,FALSE,FALSE,,,,-37.0966,,,,,Assisted,Use Main entrance.,,,,Elphinstone Public Hall,"Elphinstone Public Hall, 2 Olivers Lane, ELPHINSTONE, VIC 3448",Elphinstone,Bendigo,VIC,,
,144.2576404,FALSE,FALSE,FALSE,FALSE,,,,-36.7705862,,,,,Assisted,Mackenzie St West entrance,,,,Golden Square Primary School,"Golden Square Primary School, 19 Maple St, GOLDEN SQUARE, VIC 3555",Golden Square,Bendigo,VIC,,
,144.508,FALSE,FALSE,FALSE,FALSE,,,,-36.6167,,,,,Assisted,Bagshot St entrance,,,,Goornong Community Centre,"Goornong Community Centre, 32 Bagshot St, GOORNONG, VIC 3557",Goornong,Bendigo,VIC,,
,144.167,FALSE,FALSE,FALSE,FALSE,,,,-37.1495,,,,,Assisted,Corner of Fryers St and Midland Hwy,,,,Guildford Public Hall,"Guildford Public Hall, 30 Fryers St, GUILDFORD, VIC 3451",Guildford,Bendigo,VIC,,
,144.2570953,FALSE,FALSE,FALSE,FALSE,,,,-37.0024939,,,,,Assisted,Wilkinson St entrance,,,,Harcourt Valley Primary School,"Harcourt Valley Primary School, 3 Wilkinson St, HARCOURT, VIC 3453",Harcourt,Bendigo,VIC,,
,144.709,FALSE,FALSE,FALSE,FALSE,,,,-36.9232,,,,,Assisted,Main entrance from High St,,,,Heathcote RSL Hall,"Heathcote RSL Hall, 125 High St, HEATHCOTE, VIC 3523",Heathcote,Bendigo,VIC,,
,144.262,FALSE,FALSE,FALSE,FALSE,,,,-36.7183,,,,,Assisted,Entry via Bright St school carpark to Grieve Community Building,,,,Eaglehawk Secondary College,"Eaglehawk Secondary College, 1 Reserve St, EAGLEHAWK, VIC 3556",Jobs Gully,Bendigo,VIC,,
,144.458557,FALSE,FALSE,FALSE,FALSE,,,,-37.25222,,,,,Assisted,Ross St entrance,,,,Kyneton - Sacred Heart College,"Kyneton - Sacred Heart College, 94 High St, KYNETON, VIC 3444",Kyneton East,Bendigo,VIC,,
,144.161,FALSE,FALSE,FALSE,FALSE,,,,-36.8048,,,,,Assisted,Wiegards Rd entrance,,,,Lockwood Primary School,"Lockwood Primary School, 190 Wiegards Rd, LOCKWOOD, VIC 3551",Lockwood,Bendigo,VIC,,
,144.3030202,FALSE,FALSE,FALSE,FALSE,,,,-36.7526297,,,,,Assisted,Main entrance off Solomon Street,Church,,,Connect Church,"Connect Church, 35 Solomon St, BENDIGO EAST, VIC 3550",Bendigo East,Bendigo,VIC,,
"Sausages, egg and bacon rolls, drink",144.459,FALSE,FALSE,FALSE,TRUE,2016-07-02 00:49:24.550721+00,2016-07-02 00:49:24.550721+00,,-37.2479,Kyneton Little Athletics ,,,"{""has_bacon_and_eggs"":true}",Assisted,One main entrance to Sporting Complex.,,,,Kyneton Sports and Aquatic Centre,"Kyneton Sports and Aquatic Centre, 4 Victoria St, KYNETON, VIC 3444",Kyneton,Bendigo,VIC,,
,144.249867,FALSE,FALSE,FALSE,FALSE,,,,-36.716671,,,,,Assisted,Darling St entrance,Senior Citizens Centre,,,Eaglehawk Senior Citizens,"Eaglehawk Senior Citizens, 6 Darling St, EAGLEHAWK, VIC 3556",Eaglehawk,Bendigo,VIC,,
"We have sausages in bread $2.50 ,sausages in rolls $3 or without onions.  Cans of soft drink and bottles of water $2 each. Craft stall from our craft mum group. Entertainment books $65.  ",145.095,FALSE,FALSE,FALSE,TRUE,2016-07-02 03:55:35.012255+00,2016-07-02 03:55:35.012255+00,,-37.7634,Bulleen heights school sausage sizzle ,,,{},Assisted,Entrance to polling place: Door to Multi Purpose Room. Entrance to grounds: Gate on Pleasant Rd,,,,Bulleen Heights School,"Bulleen Heights School, Pleasant Rd, BULLEEN, VIC 3105",Bulleen,Menzies,VIC,3976,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3976/Bulleen/no
,144.24221,FALSE,FALSE,FALSE,FALSE,,,,-36.83071,,,,,Assisted,Entrance to multi purpose centre is via McInnes Street.,Public School,,,Big Hill Primary School,"Big Hill Primary School, 5644 Calder Hwy, BIG HILL, VIC 3555",Big Hill,Bendigo,VIC,,
,139.0849507,FALSE,FALSE,FALSE,FALSE,,,,-34.1733583,,,,,Assisted,Main door to Hall.,,,,Eudunda RSL Club,"Eudunda RSL Club, 2 Railway Pde, EUDUNDA, SA 5374",Eudunda,Grey,SA,,
,144.299,FALSE,FALSE,FALSE,FALSE,,,,-36.7383,,,,,Assisted,Wannop Centre is entered via Knight St staff carpark,Public School,,,Weeroona College Bendigo,"Weeroona College Bendigo, 383 Napier Street, WHITE HILLS, VIC 3550",Weeroona,Bendigo,VIC,,
,144.304,FALSE,FALSE,FALSE,FALSE,,,,-36.8263,,,,,Assisted,Entry via Sedgwick Road.,,,,Mandurang Public Hall,"Mandurang Public Hall, 135 Nankervis Road, MANDURANG, VIC 3551",Mandurang,Bendigo,VIC,,
,144.133,FALSE,FALSE,FALSE,FALSE,,,,-36.7341,,,,,Assisted,Entry from Torrens Street,,,,Marong Public Hall,"Marong Public Hall, 36 Torrens St, MARONG, VIC 3515",Marong,Bendigo,VIC,,
,143.9,FALSE,FALSE,FALSE,FALSE,,,,-36.7404,,,,,Assisted,Burke St entrance,,,,Newbridge Public Hall,"Newbridge Public Hall, 38 Burke St, NEWBRIDGE, VIC 3551",Newbridge,Bendigo,VIC,,
sausage sizzle cake stall drinks plant sales Stephanie Alexander Kitchen Garden stall car boot sale community stalls,144.351,FALSE,FALSE,TRUE,TRUE,2016-06-25 07:46:14.913986+00,2016-06-25 07:46:14.913986+00,,-37.1409,Taradale Primary School sausage sizzle,,Election Sausage Sizzle,{},Assisted,Lyell St entrance.,Public School,,,Taradale Primary School,"Taradale Primary School, 98 High St, TARADALE, VIC 3447",Taradale,Bendigo,VIC,2523,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/2523/Taradale-Primary-School-Taradale-Primary-School-sausage-sizzle/no
,144.20734,FALSE,FALSE,FALSE,FALSE,,,,-36.53575,,,,,Assisted,Inglewood St entrance,,,,Raywood Public Hall,"Raywood Public Hall, 50 Inglewood St, RAYWOOD, VIC 3570",Raywood,Bendigo,VIC,,
,144.530431,FALSE,FALSE,FALSE,FALSE,,,,-37.019459,,,,,Assisted,,,,,Redesdale Mia Mia Primary School,"Redesdale Mia Mia Primary School, 31 School Rd, REDESDALE, VIC 3444",Redesdale,Bendigo,VIC,,
,144.31392,FALSE,FALSE,FALSE,FALSE,,,,-36.766331,,,,,Assisted,Entry from Crook St via off street car p ark,,,,Strathdale Community Centre,"Strathdale Community Centre, 155 Crook St, STRATHDALE, VIC 3550",Strathdale,Bendigo,VIC,,
,144.351088,FALSE,FALSE,FALSE,FALSE,,,,-36.8029526,,,,,Assisted,Main entrance from off street car park,,,,Strathfieldsaye Sports Club,"Strathfieldsaye Sports Club, Club Ct, STRATHFIELDSAYE, VIC 3551",Strathfieldsaye,Bendigo,VIC,,
,143.833,FALSE,FALSE,FALSE,FALSE,,,,-36.771,,,,,Assisted,Commercial Rd entrance,,,,Victoria Theatre Hall,"Victoria Theatre Hall, 69 Commercial Rd, TARNAGULLA, VIC 3551",Tarnagulla,Bendigo,VIC,,
,144.30319,FALSE,FALSE,FALSE,FALSE,,,,-36.780371,,,,,Assisted,Main entry via Crook St school carpark,Public School,,,Kennington Primary School (3686),"Kennington Primary School (3686), 60 Crook St, KENNINGTON, VIC 3550",Strath Hill,Bendigo,VIC,,
"sausages, cakes, biscuits and slices - to help a great country school",144.059481,FALSE,FALSE,TRUE,TRUE,2016-07-01 11:19:45.151993+00,2016-07-01 11:19:45.151993+00,,-37.107748,Primary School sausage sizzle and cake stall,,,"{""has_vego"":true}",Assisted,,Public School,,,Newstead Primary School,"Newstead Primary School, 28 Lyons St, NEWSTEAD, VIC 3462",Newstead,Bendigo,VIC,,
,145.213,FALSE,FALSE,FALSE,FALSE,,,,-37.9785,,,,,Assisted,Entrance to polling place: Main door to Jacaranda Centre Entrance to School: Access via main gate  in Ann St. Access also available via Da vid St carpark.,,,,Dandenong High School (Ann St),"Dandenong High School (Ann St), 23 Ann St, DANDENONG, VIC 3175",Cleeland,Bruce,VIC,,
,144.583,FALSE,FALSE,FALSE,FALSE,,,,-37.4051,,,,,Assisted,Mount Macedon Rd entrance,Public School,,,Mount Macedon Primary School,"Mount Macedon Primary School, 641 Mount Macedon Rd, MOUNT MACEDON, VIC 3441",Mount Macedon,Bendigo,VIC,,
